endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
120_LD_correlation(pearson)	-1	0	0	5	0.16829542215375934	0	-3.1970031869955275e-6	1	19
120_LD_correlation(pearson)	-1	0	0	10	0.1266685623373474	0.03267072207517313	0.0021264193328288036	1	19
120_LD_correlation(pearson)	-1	0	0	15	0.10278353943680431	0.04759963569638337	1.2505357080552935e-5	1	19
120_LD_correlation(pearson)	-1	0	0	20	0.08322096757981833	0.05820610520822237	-1.0193571660033367e-4	1	19
120_LD_correlation(pearson)	-1	0	1	25	0.06662077087027408	0.06585020432493717	0.0018171778900844357	1	19
120_LD_correlation(pearson)	-1	0	0	30	0.06205662491604639	0.06145827199487411	-0.001389533899164838	1	19
120_LD_correlation(pearson)	-1	1	0	35	0.051090820290852046	0.06346798806607404	6.681618589259904e-4	1	19
120_LD_correlation(pearson)	-1	0	0	40	0.04278121472413346	0.06282150933994031	-8.170097438090028e-6	1	19
120_LD_correlation(pearson)	-1	0	0	45	0.03645498866309354	0.06019165428991574	3.1653008679337634e-4	1	19
120_LD_correlation(pearson)	-1	0	0	50	0.03283645851855	0.05485410766714947	4.17399632277545e-5	1	19
120_LD_correlation(pearson)	-1	0	0	55	0.029851092725552114	0.04888339770857584	-1.7957187869775267e-4	1	19
120_LD_correlation(pearson)	-1	0	0	60	0.025660013746210353	0.04411839900211037	9.780612658572535e-5	1	19
120_LD_correlation(pearson)	-1	0	0	65	0.021903279644928608	0.038919056114371964	-3.1676063242319613e-6	1	19
120_LD_correlation(pearson)	-1	0	0	70	0.01835852480175222	0.03350773430859071	1.661413488147991e-5	1	19
120_LD_correlation(pearson)	-1	0	0	75	0.01494837109180917	0.027961811585506723	1.3195170898460094e-6	1	19
120_LD_correlation(pearson)	-1	0	0	80	0.011963866055097631	0.021990240872027604	1.824190204963217e-4	1	19
120_LD_correlation(pearson)	-1	0	0	85	0.010426992434600563	0.014571041064661155	-3.6132945868186095e-5	1	19
120_LD_correlation(pearson)	-1	0	0	90	0.008910721278451755	0.007131238825997471	-2.7998122734184085e-5	1	19
120_LD_correlation(pearson)	-1	0	0	95	0.00708588621463065	0	1.4807742027191802e-8	1	19
120_LD_correlation(spearman)	-1	0	0	5	0.1495686983347665	0	-4.191382354323403e-6	1	19
