endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
120_a_L1_distmoved	0	0	0	5	0.3736252367224064	0	-3.9525981638995266e-7	1	19
120_a_L1_distmoved	0	0	0	10	0.35319861296278404	0.0012205312084218763	8.878775213215551e-5	1	19
120_a_L1_distmoved	0	0	0	15	0.33574598840620434	5.329148458431503e-4	-5.662432051582848e-4	1	19
120_a_L1_distmoved	0	0	0	20	0.30979156074217357	0.006215379486214917	-3.9865335179336886e-4	1	19
120_a_L1_distmoved	0	0	0	25	0.2794733201254177	0.017327454577442523	-4.6389362306178994e-5	1	19
120_a_L1_distmoved	0	0	0	30	0.24929373166083055	0.028300878539392584	1.9342348238776884e-5	1	19
120_a_L1_distmoved	0	0	0	35	0.21854877433867917	0.039839667187959615	2.507122185854271e-4	1	19
120_a_L1_distmoved	0	0	0	40	0.19132706434836314	0.04785523449706538	2.8968082265982785e-4	1	19
120_a_L1_distmoved	0	0	0	45	0.1667545178028535	0.05322165790528002	3.348811676009312e-4	1	19
120_a_L1_distmoved	0	0	0	50	0.14803733804577202	0.05273275772239829	-1.099631820252556e-4	1	19
120_a_L1_distmoved	0	1	1	55	0.1255266097987588	0.05603737804295676	3.5145422706496667e-4	1	19
120_a_L1_distmoved	0	0	0	60	0.10993009967245432	0.052427831251698934	8.734909732729738e-5	1	19
120_a_L1_distmoved	0	0	0	65	0.09373590644038637	0.04941596315686239	3.0126945458680554e-4	1	19
120_a_L1_distmoved	0	0	0	70	0.08142083521619291	0.04252500167195221	3.0836938277698704e-4	1	19
120_a_L1_distmoved	0	0	0	75	0.073726247454139	0.031013590812016843	-1.9305981464095564e-4	1	19
120_a_L1_distmoved	0	0	0	80	0.06305279510599494	0.02248102256192199	-2.2383054902605943e-4	1	19
120_a_L1_distmoved	0	0	0	85	0.04953867116118051	0.01678910495175171	1.0979514854896913e-4	1	19
120_a_L1_distmoved	0	0	0	90	0.03790869936193524	0.009213049096139828	1.3934862001906356e-4	1	19
120_a_L1_distmoved	0	0	0	95	0.02791573288004668	0	-1.8356834942828597e-7	1	19
120_b_D1_distmoved	0	0	0	5	0.22288440689441555	0	-7.975783823836881e-6	1	19
120_b_D1_distmoved	0	0	0	10	0.15078948731399466	0.05985774122958483	0.0021470638721356214	1	19
120_b_D1_distmoved	0	0	0	15	0.09938014079492863	0.09902997134840624	0.0013444133332942776	1	19
120_b_D1_distmoved	0	1	0	20	0.06587277983799068	0.12030026951920965	0.0010660171599912054	1	19
120_b_D1_distmoved	0	0	1	25	0.04588122492170897	0.12805480212743187	8.78455357889594e-4	1	19
120_b_D1_distmoved	0	0	0	30	0.0361450930079567	0.12555394244677795	3.425905308834921e-4	1	19
120_b_D1_distmoved	0	0	0	35	0.030861551830703306	0.11860050536455327	-1.1160147823000053e-4	1	19
120_b_D1_distmoved	0	0	0	40	0.025485474070169583	0.11173960458847391	5.939724966905684e-5	1	19
120_b_D1_distmoved	0	0	0	45	0.02054552884927548	0.10444257257891496	8.335541886653273e-5	1	19
120_b_D1_distmoved	0	0	0	50	0.016620340301696245	0.09613078693510493	9.426314653776839e-5	1	19
120_b_D1_distmoved	0	0	0	55	0.013790872238259741	0.08672328408869204	6.553707336779652e-5	1	19
120_b_D1_distmoved	0	0	0	60	0.011354071204912445	0.0769231153881764	-1.679313870217954e-4	1	19
120_b_D1_distmoved	0	0	0	65	0.00826368327943426	0.06777653162238423	2.9246727492687866e-4	1	19
120_b_D1_distmoved	0	0	0	70	0.006970174134761214	0.05683307445720429	-1.3943638263951393e-4	1	19
120_b_D1_distmoved	0	0	0	75	0.0055272593106248285	0.04603902252403724	1.935634434455685e-4	1	19
120_b_D1_distmoved	0	0	0	80	0.005078349149593437	0.034250968904679435	-1.5769519654673604e-4	1	19
120_b_D1_distmoved	0	0	0	85	0.004075083146947591	0.023017269466712644	1.71126548326971e-4	1	19
120_b_D1_distmoved	0	0	0	90	0.0038356337533896616	0.01101975570718902	-1.60179040682476e-4	1	19
120_b_D1_distmoved	0	0	0	95	0.0026184233792306264	2.7755492491302576e-17	2.643590633759751e-7	1	19
120_c_L2_distmoved	0	0	0	5	0.3538570682502353	0	5.123949226003526e-7	1	19
120_c_L2_distmoved	0	0	0	10	0.32699839840587064	0.007265103076289792	-3.046872221124645e-4	1	19
120_c_L2_distmoved	0	0	0	15	0.2897491189153455	0.024920736019379185	-1.9092585164645412e-4	1	19
120_c_L2_distmoved	0	0	0	20	0.25645073519212186	0.03862550353024365	-3.566668747291708e-4	1	19
120_c_L2_distmoved	0	0	0	25	0.2151508903600777	0.06033167071451001	-1.797944493676938e-4	1	19
120_c_L2_distmoved	0	0	0	30	0.1726518113749976	0.08323706284406246	1.492497197498106e-4	1	19
120_c_L2_distmoved	0	0	0	35	0.1288371567047115	0.1074580205577979	5.81735124432993e-4	1	19
120_c_L2_distmoved	0	0	0	40	0.09955895716620683	0.11714263475101815	4.196937787897674e-4	1	19
