endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
percent_affected_48	1	0	0	5	0.064208837496253	0	1.1580848957164219e-6	1	8
percent_affected_48	1	0	0	10	0.03427972691633722	0.021168242641612437	4.6396262458839744e-4	1	8
percent_affected_48	1	0	1	15	0.013363483786809979	0.03332363166795936	0.0024689654801920927	1	8
percent_affected_48	1	0	0	20	0.011145787383511685	0.026780502671117323	-0.001364675136376664	1	8
percent_affected_48	1	1	0	25	0.004738079698683135	0.0244273785239655	9.785038382516735e-4	1	8
percent_affected_48	1	0	0	30	0.003368406632337273	0.0170362274919218	-1.310949238951662e-4	1	8
percent_affected_48	1	0	0	35	0.0030450117231708754	0.008598799908778725	4.808622984044203e-5	1	8
percent_affected_48	1	0	0	40	0.0028829893873536802	0	1.6208836353649386e-5	1	8
percent_affected_48	1	0	0	45	0.003003740336535165	NA	2.2809600468347857e-5	1	8
percent_affected_48	1	0	0	50	0.0033324287133389002	NA	-7.637273541698432e-6	1	8
percent_affected_48	1	0	0	55	0.0035339113889293152	NA	-5.3319242611204234e-5	1	8
percent_affected_48	1	0	0	60	0.003370032059202798	NA	4.5540481538129474e-5	1	8
percent_affected_48	1	0	0	65	0.00343440174235726	NA	-1.9283157494847105e-5	1	8
percent_affected_48	1	0	0	70	0.0036977485842510627	NA	1.2710117601248984e-4	1	8
percent_affected_48	1	0	0	75	0.004541421946344366	NA	-2.1056485006774986e-4	1	8
percent_affected_48	1	0	0	80	0.004406489896893908	NA	2.4542761753867205e-4	1	8
percent_affected_48	1	0	0	85	0.005647115094129502	NA	-1.1087814194142013e-4	1	8
percent_affected_48	1	0	0	90	0.005919393782077406	NA	-2.6672125496201275e-4	1	8
percent_affected_48	1	0	0	95	0.003738783978235706	NA	3.7685412518776515e-7	1	8
percent_affected_96	1	0	0	5	0.05186818355454478	0	1.0262743892231716e-6	1	19
percent_affected_96	1	0	0	10	0.02916182516659222	0.019990912484365967	2.3798702553937392e-4	1	19
percent_affected_96	1	0	0	15	0.012921140147390263	0.03351615255349085	0.0021504830412075273	1	19
percent_affected_96	1	0	0	20	0.012092612272697166	0.03162923775097739	-0.00144214377560965	1	19
percent_affected_96	1	1	1	25	0.005826399444122815	0.03518000710043576	0.0010079921416703635	1	19
percent_affected_96	1	0	0	30	0.004660522403595574	0.0336304414140067	-1.416750895985843e-4	1	19
percent_affected_96	1	0	0	35	0.004525721531403553	0.031049799711297874	5.362167519145043e-5	1	19
percent_affected_96	1	0	0	40	0.004480530621826029	0.028379548059189554	-2.979882819076978e-5	1	19
percent_affected_96	1	0	0	45	0.00438608395902061	0.02575855215304526	4.1930875794335565e-5	1	19
